element-1,years,Feed Production,element-2,Food Production
Feed,1961,821878,Food,2418262
Feed,1962,850832,Food,2486745
Feed,1963,893940,Food,2523607
Feed,1964,910709,Food,2582483
Feed,1965,944899,Food,2681908
Feed,1966,1000799,Food,2771271
Feed,1967,1018995,Food,2829363
Feed,1968,1083968,Food,2900462
Feed,1969,1099832,Food,2985461
Feed,1970,1116801,Food,3076048
Feed,1971,1147899,Food,3115527
Feed,1972,1165176,Food,3148080
Feed,1973,1199267,Food,3286825
Feed,1974,1137438,Food,3343576
Feed,1975,1182501,Food,3426389
Feed,1976,1174844,Food,3461292
Feed,1977,1223020,Food,3574345
Feed,1978,1321305,Food,3713364
Feed,1979,1360306,Food,3773918
Feed,1980,1303828,Food,3823236
Feed,1981,1326734,Food,3905621
Feed,1982,1373979,Food,4019884
Feed,1983,1351499,Food,4134977
Feed,1984,1447563,Food,4254217
Feed,1985,1443705,Food,4337001
Feed,1986,1461746,Food,4448350
Feed,1987,1507108,Food,4579419
Feed,1988,1445659,Food,4676167
Feed,1989,1476912,Food,4792180
Feed,1990,1501382,Food,4860115
Feed,1991,1486180,Food,4945444
Feed,1992,1530744,Food,5118820
Feed,1993,1584682,Food,5261040
Feed,1994,1646052,Food,5420336
Feed,1995,1627058,Food,5609653
Feed,1996,1723303,Food,5752268
Feed,1997,1693401,Food,5902139
Feed,1998,1720461,Food,6069477
Feed,1999,1754614,Food,6293789
Feed,2000,1822025,Food,6481665
Feed,2001,1825360,Food,6566872
Feed,2002,1820007,Food,6695726
Feed,2003,1841157,Food,6811852
Feed,2004,1917207,Food,6959576
Feed,2005,1905124,Food,7094650
Feed,2006,1870875,Food,7253908
Feed,2007,1929997,Food,7447121
Feed,2008,1980475,Food,7621971
Feed,2009,1950183,Food,7731419
Feed,2010,1994668,Food,7925078
Feed,2011,2069675,Food,8121899
Feed,2012,2103506,Food,8299854
Feed,2013,2234680,Food,8428288
